date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2000-04-27,17.16,0.0,0.0,0.0,17.16,0.0,0.0,17.16,0.0
2000-04-28,17.67,2.9720279720279796,0.0,0.0,17.67,2.9720279720279796,0.0,17.67,2.9720279720279796
2000-04-29,17.67,2.9720279720279796,0.0,0.0,17.67,2.9720279720279796,0.0,17.67,2.9720279720279796
2000-04-30,17.67,2.9720279720279796,0.0,0.0,17.67,2.9720279720279796,0.0,17.67,2.9720279720279796
2000-05-01,17.67,2.9720279720279796,0.0,0.0,17.67,2.9720279720279796,0.0,17.67,2.9720279720279796
2000-05-02,17.69,3.088578088578098,0.0,0.0,17.69,3.088578088578098,0.0,17.69,3.088578088578098
2000-05-03,17.53,2.1561771561771526,0.0,0.0,17.53,2.1561771561771526,0.0,17.53,2.1561771561771526
2000-05-04,17.24,0.4662004662004504,0.0,0.0,17.24,0.4662004662004504,0.0,17.24,0.4662004662004504
2000-05-05,17.3,0.8158508158508271,0.0,0.0,17.3,0.8158508158508271,0.0,17.3,0.8158508158508271
2000-05-06,17.3,0.8158508158508271,0.0,0.0,17.3,0.8158508158508271,0.0,17.3,0.8158508158508271
2000-05-07,17.3,0.8158508158508271,0.0,0.0,17.3,0.8158508158508271,0.0,17.3,0.8158508158508271
2000-05-08,17.19,0.17482517482518833,0.0,0.0,17.19,0.17482517482518833,0.0,17.19,0.17482517482518833
2000-05-09,16.95,-1.2237762237762295,0.0,0.0,16.95,-1.2237762237762295,0.0,16.95,-1.2237762237762295
2000-05-10,16.53,-3.6713286713286664,0.0,0.0,16.53,-3.6713286713286664,0.0,16.53,-3.6713286713286664
2000-05-11,16.71,-2.622377622377614,0.0,0.0,16.71,-2.622377622377614,0.0,16.71,-2.622377622377614
2000-05-12,17.06,-0.5827505827505908,0.0,0.0,17.06,-0.5827505827505908,0.0,17.06,-0.5827505827505908
