date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2021-12-10,4.48,0.0,0.0,0.0,4.48,0.0,0,4.48,0.0
2021-12-11,4.48,0.0,0.0,0.0,4.48,0.0,0,4.48,0.0
2021-12-12,4.48,0.0,0.0,0.0,4.48,0.0,0,4.48,0.0
2021-12-13,4.43,-1.1160714285714413,0.0,0.0,4.43,-1.1160714285714413,0,4.43,-1.1160714285714413
2021-12-14,4.39,-2.008928571428592,0.0,0.0,4.39,-2.008928571428592,0,4.39,-2.008928571428592
2021-12-15,4.44,-0.8928571428571397,0.0,0.0,4.44,-0.8928571428571397,0,4.44,-0.8928571428571397
2021-12-16,4.38,-2.2321428571428714,0.0,0.0,4.38,-2.2321428571428714,0,4.38,-2.2321428571428714
2021-12-17,4.4,-1.7857142857142905,0.0,0.0,4.4,-1.7857142857142905,0,4.4,-1.7857142857142905
2021-12-18,4.4,-1.7857142857142905,0.0,0.0,4.4,-1.7857142857142905,0,4.4,-1.7857142857142905
2021-12-19,4.4,-1.7857142857142905,0.0,0.0,4.4,-1.7857142857142905,0,4.4,-1.7857142857142905
2021-12-20,4.35,-2.9017857142857317,0.0,0.0,4.35,-2.9017857142857317,0,4.35,-2.9017857142857317
2021-12-21,4.44,-0.8928571428571397,0.0,0.0,4.44,-0.8928571428571397,0,4.44,-0.8928571428571397
2021-12-22,4.48,0.0,0.0,0.0,4.48,0.0,0,4.48,0.0
2021-12-23,4.51,0.6696428571428381,0.0,0.0,4.51,0.6696428571428381,0,4.51,0.6696428571428381
2021-12-24,4.51,0.6696428571428381,0.0,0.0,4.51,0.6696428571428381,0,4.51,0.6696428571428381
2021-12-25,4.51,0.6696428571428381,0.0,0.0,4.51,0.6696428571428381,0,4.51,0.6696428571428381
2021-12-26,4.51,0.6696428571428381,0.0,0.0,4.51,0.6696428571428381,0,4.51,0.6696428571428381
2021-12-27,4.54,1.3392857142856984,0.0,0.0,4.54,1.3392857142856984,0,4.54,1.3392857142856984
2021-12-28,4.57,2.0089285714285587,0.0,0.0,4.57,2.0089285714285587,0,4.57,2.0089285714285587
2021-12-29,4.57,2.0089285714285587,0.0,0.0,4.57,2.0089285714285587,0,4.57,2.0089285714285587
