date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2006-06-02,130.32,0.0,0.0,0.0,130.32,0.0,0.0,130.32,0.0
2006-06-03,130.32,0.0,0.0,0.0,130.32,0.0,0.0,130.32,0.0
2006-06-04,130.32,0.0,0.0,0.0,130.32,0.0,0.0,130.32,0.0
2006-06-05,130.24,-0.061387354205022504,0.0,0.0,130.24,-0.061387354205022504,0.0,130.24,-0.061387354205022504
2006-06-06,130.19,-0.09975445058317822,0.0,0.0,130.19,-0.09975445058317822,0.0,130.19,-0.09975445058317822
2006-06-07,130.21,-0.0844076120319115,0.0,0.0,130.21,-0.0844076120319115,0.0,130.21,-0.0844076120319115
2006-06-08,130.39,0.05371393492938914,0.0,0.0,130.39,0.05371393492938914,0.0,130.39,0.05371393492938914
2006-06-09,130.47,0.11510128913443385,0.0,0.0,130.47,0.11510128913443385,0.0,130.47,0.11510128913443385
2006-06-10,130.47,0.11510128913443385,0.0,0.0,130.47,0.11510128913443385,0.0,130.47,0.11510128913443385
2006-06-11,130.47,0.11510128913443385,0.0,0.0,130.47,0.11510128913443385,0.0,130.47,0.11510128913443385
2006-06-12,130.53,0.16114180478821183,0.0,0.0,130.53,0.16114180478821183,0.0,130.53,0.16114180478821183
2006-06-13,130.59,0.2071823204419898,0.0,0.0,130.59,0.2071823204419898,0.0,130.59,0.2071823204419898
2006-06-14,130.53,0.16114180478821183,0.0,0.0,130.53,0.16114180478821183,0.0,130.53,0.16114180478821183
2006-06-15,130.45,0.09975445058316712,0.0,0.0,130.45,0.09975445058316712,0.0,130.45,0.09975445058316712
2006-06-16,130.49,0.13044812768570058,0.0,0.0,130.49,0.13044812768570058,0.0,130.49,0.13044812768570058
2006-06-17,130.49,0.13044812768570058,0.0,0.0,130.49,0.13044812768570058,0.0,130.49,0.13044812768570058
2006-06-18,130.49,0.13044812768570058,0.0,0.0,130.49,0.13044812768570058,0.0,130.49,0.13044812768570058
2006-06-19,130.41,0.06906077348065587,0.0,0.0,130.41,0.06906077348065587,0.0,130.41,0.06906077348065587
2006-06-20,130.35,0.023020257826877888,0.0,0.0,130.35,0.023020257826877888,0.0,130.35,0.023020257826877888
2006-06-21,130.35,0.023020257826877888,0.0,0.0,130.35,0.023020257826877888,0.0,130.35,0.023020257826877888
2006-06-22,130.32,0.0,0.0,0.0,130.32,0.0,0.0,130.32,0.0
2006-06-23,130.26,-0.04604051565377798,0.0,0.0,130.26,-0.04604051565377798,0.0,130.26,-0.04604051565377798
2006-06-24,130.26,-0.04604051565377798,0.0,0.0,130.26,-0.04604051565377798,0.0,130.26,-0.04604051565377798
2006-06-25,130.26,-0.04604051565377798,0.0,0.0,130.26,-0.04604051565377798,0.0,130.26,-0.04604051565377798
2006-06-26,130.2,-0.09208103130755596,0.0,0.0,130.2,-0.09208103130755596,0.0,130.2,-0.09208103130755596
2006-06-27,130.18,-0.10742786985880048,0.0,0.0,130.18,-0.10742786985880048,0.0,130.18,-0.10742786985880048
2006-06-28,130.2,-0.09208103130755596,0.0,0.0,130.2,-0.09208103130755596,0.0,130.2,-0.09208103130755596
2006-06-29,130.3,-0.015346838551244524,0.0,0.0,130.3,-0.015346838551244524,0.0,130.3,-0.015346838551244524
2006-06-30,130.27,-0.038367096378133514,0.0,0.0,130.27,-0.038367096378133514,0.0,130.27,-0.038367096378133514
2006-07-01,130.27,-0.038367096378133514,0.0,0.0,130.27,-0.038367096378133514,0.0,130.27,-0.038367096378133514
2006-07-02,130.27,-0.038367096378133514,0.0,0.0,130.27,-0.038367096378133514,0.0,130.27,-0.038367096378133514
2006-07-03,130.24,-0.061387354205022504,0.0,0.0,130.24,-0.061387354205022504,0.0,130.24,-0.061387354205022504
2006-07-04,130.28,-0.030693677102511252,0.0,0.0,130.28,-0.030693677102511252,0.0,130.28,-0.030693677102511252
2006-07-05,130.21,-0.0844076120319115,0.0,0.0,130.21,-0.0844076120319115,0.0,130.21,-0.0844076120319115
2006-07-06,130.19,-0.09975445058317822,0.0,0.0,130.19,-0.09975445058317822,0.0,130.19,-0.09975445058317822
2006-07-07,130.28,-0.030693677102511252,0.0,0.0,130.28,-0.030693677102511252,0.0,130.28,-0.030693677102511252
