date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2007-07-06,19.8,0.0,0.0,0.0,19.8,0.0,0.0,19.8,0.0
2007-07-07,19.8,0.0,0.0,0.0,19.8,0.0,0.0,19.8,0.0
2007-07-08,19.8,0.0,0.0,0.0,19.8,0.0,0.0,19.8,0.0
2007-07-09,19.95,0.7575757575757569,0.0,0.0,19.95,0.7575757575757569,0.0,19.95,0.7575757575757569
2007-07-10,19.79,-0.05050505050505638,0.0,0.0,19.79,-0.05050505050505638,0.0,19.79,-0.05050505050505638
2007-07-11,19.68,-0.60606060606061,0.0,0.0,19.68,-0.60606060606061,0.0,19.68,-0.60606060606061
2007-07-12,19.88,0.40404040404038444,0.0,0.0,19.88,0.40404040404038444,0.0,19.88,0.40404040404038444
2007-07-13,19.97,0.8585858585858475,0.0,0.0,19.97,0.8585858585858475,0.0,19.97,0.8585858585858475
2007-07-14,19.97,0.8585858585858475,0.0,0.0,19.97,0.8585858585858475,0.0,19.97,0.8585858585858475
2007-07-15,19.97,0.8585858585858475,0.0,0.0,19.97,0.8585858585858475,0.0,19.97,0.8585858585858475
2007-07-16,19.9,0.5050505050504972,0.0,0.0,19.9,0.5050505050504972,0.0,19.9,0.5050505050504972
2007-07-17,19.74,-0.3030303030303161,0.0,0.0,19.74,-0.3030303030303161,0.0,19.74,-0.3030303030303161
2007-07-18,19.65,-0.757575757575768,0.0,0.0,19.65,-0.757575757575768,0.0,19.65,-0.757575757575768
2007-07-19,19.88,0.40404040404038444,0.0,0.0,19.88,0.40404040404038444,0.0,19.88,0.40404040404038444
2007-07-20,19.56,-1.21212121212122,0.0,0.0,19.56,-1.21212121212122,0.0,19.56,-1.21212121212122
2007-07-21,19.56,-1.21212121212122,0.0,0.0,19.56,-1.21212121212122,0.0,19.56,-1.21212121212122
2007-07-22,19.56,-1.21212121212122,0.0,0.0,19.56,-1.21212121212122,0.0,19.56,-1.21212121212122
2007-07-23,19.74,-0.3030303030303161,0.0,0.0,19.74,-0.3030303030303161,0.0,19.74,-0.3030303030303161
2007-07-24,19.34,-2.323232323232327,0.0,0.0,19.34,-2.323232323232327,0.0,19.34,-2.323232323232327
2007-07-25,19.2,-3.0303030303030387,0.0,0.0,19.2,-3.0303030303030387,0.0,19.2,-3.0303030303030387
2007-07-26,18.8,-5.05050505050505,0.0,0.0,18.8,-5.05050505050505,0.0,18.8,-5.05050505050505
2007-07-27,18.64,-5.8585858585858634,0.0,0.0,18.64,-5.8585858585858634,0.0,18.64,-5.8585858585858634
2007-07-28,18.64,-5.8585858585858634,0.0,0.0,18.64,-5.8585858585858634,0.0,18.64,-5.8585858585858634
2007-07-29,18.64,-5.8585858585858634,0.0,0.0,18.64,-5.8585858585858634,0.0,18.64,-5.8585858585858634
