date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2009-03-06,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-07,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-08,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-09,99.98,-0.019999999999997797,0.0,0.0,99.98,-0.019999999999997797,0.0,99.98,-0.019999999999997797
2009-03-10,99.98,-0.019999999999997797,0.0,0.0,99.98,-0.019999999999997797,0.0,99.98,-0.019999999999997797
2009-03-11,99.99,-0.010000000000010001,0.0,0.0,99.99,-0.010000000000010001,0.0,99.99,-0.010000000000010001
2009-03-12,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-13,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-14,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-15,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
2009-03-16,100.01,0.009999999999998899,0.0,0.0,100.01,0.009999999999998899,0.0,100.01,0.009999999999998899
2009-03-17,100.02,0.019999999999997797,0.0,0.0,100.02,0.019999999999997797,0.0,100.02,0.019999999999997797
2009-03-18,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-03-19,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-20,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-21,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-22,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-23,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-03-24,100.03,0.029999999999996696,0.0,0.0,100.03,0.029999999999996696,0.0,100.03,0.029999999999996696
2009-03-25,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-03-26,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-03-27,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-28,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-29,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-03-30,100.13,0.12999999999998568,0.0,0.0,100.13,0.12999999999998568,0.0,100.13,0.12999999999998568
2009-03-31,100.07,0.06999999999999229,0.0,0.0,100.07,0.06999999999999229,0.0,100.07,0.06999999999999229
2009-04-01,100.15,0.15000000000000568,0.0,0.0,100.15,0.15000000000000568,0.0,100.15,0.15000000000000568
2009-04-02,100.05,0.04999999999999449,0.0,0.0,100.05,0.04999999999999449,0.0,100.05,0.04999999999999449
2009-04-03,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-04-04,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-04-05,100.04,0.039999999999995595,0.0,0.0,100.04,0.039999999999995595,0.0,100.04,0.039999999999995595
2009-04-06,100.06,0.05999999999999339,0.0,0.0,100.06,0.05999999999999339,0.0,100.06,0.05999999999999339
2009-04-07,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-08,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-09,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-10,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-11,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-12,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-13,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-14,100.09,0.09000000000001229,0.0,0.0,100.09,0.09000000000001229,0.0,100.09,0.09000000000001229
2009-04-15,100.11,0.11000000000001009,0.0,0.0,100.11,0.11000000000001009,0.0,100.11,0.11000000000001009
2009-04-16,100.1,0.09999999999998899,0.0,0.0,100.1,0.09999999999998899,0.0,100.1,0.09999999999998899
2009-04-17,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-18,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-19,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-20,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-21,100.08,0.07999999999999119,0.0,0.0,100.08,0.07999999999999119,0.0,100.08,0.07999999999999119
2009-04-22,100.09,0.09000000000001229,0.0,0.0,100.09,0.09000000000001229,0.0,100.09,0.09000000000001229
2009-04-23,100.09,0.09000000000001229,0.0,0.0,100.09,0.09000000000001229,0.0,100.09,0.09000000000001229
2009-04-24,100.11,0.11000000000001009,0.0,0.0,100.11,0.11000000000001009,0.0,100.11,0.11000000000001009
2009-04-25,100.11,0.11000000000001009,0.0,0.0,100.11,0.11000000000001009,0.0,100.11,0.11000000000001009
2009-04-26,100.11,0.11000000000001009,0.0,0.0,100.11,0.11000000000001009,0.0,100.11,0.11000000000001009
