date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2010-01-12,65.6,0.0,0.0,0.0,65.6,0.0,0,65.6,0.0
2010-01-13,64.56,-1.585365853658527,0.0,0.0,64.56,-1.585365853658527,0,64.56,-1.585365853658527
2010-01-14,65.28,-0.4878048780487698,0.0,0.0,65.28,-0.4878048780487698,0,65.28,-0.4878048780487698
2010-01-15,65.74,0.2134146341463472,0.0,0.0,65.74,0.2134146341463472,0,65.74,0.2134146341463472
2010-01-16,65.74,0.2134146341463472,0.0,0.0,65.74,0.2134146341463472,0,65.74,0.2134146341463472
2010-01-17,65.74,0.2134146341463472,0.0,0.0,65.74,0.2134146341463472,0,65.74,0.2134146341463472
2010-01-18,65.86,0.39634146341465115,0.0,0.0,65.86,0.39634146341465115,0,65.86,0.39634146341465115
2010-01-19,65.66,0.09146341463415197,0.0,0.0,65.66,0.09146341463415197,0,65.66,0.09146341463415197
2010-01-20,65.69,0.13719512195122796,0.0,0.0,65.69,0.13719512195122796,0,65.69,0.13719512195122796
2010-01-21,64.87,-1.1128048780487676,0.0,0.0,64.87,-1.1128048780487676,0,64.87,-1.1128048780487676
2010-01-22,63.6,-3.0487804878048697,0.0,0.0,63.6,-3.0487804878048697,0,63.6,-3.0487804878048697
2010-01-23,63.6,-3.0487804878048697,0.0,0.0,63.6,-3.0487804878048697,0,63.6,-3.0487804878048697
2010-01-24,63.6,-3.0487804878048697,0.0,0.0,63.6,-3.0487804878048697,0,63.6,-3.0487804878048697
2010-01-25,63.12,-3.780487804878041,0.0,0.0,63.12,-3.780487804878041,0,63.12,-3.780487804878041
2010-01-26,62.74,-4.359756097560963,0.0,0.0,62.74,-4.359756097560963,0,62.74,-4.359756097560963
2010-01-27,61.82,-5.762195121951208,0.0,0.0,61.82,-5.762195121951208,0,61.82,-5.762195121951208
2010-01-28,62.7,-4.42073170731706,0.0,0.0,62.7,-4.42073170731706,0,62.7,-4.42073170731706
