date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2011-02-25,25.11,0.0,0.0,0.0,25.11,0.0,0,25.11,0.0
2011-02-26,25.11,0.0,0.0,0.0,25.11,0.0,0,25.11,0.0
2011-02-27,25.11,0.0,0.0,0.0,25.11,0.0,0,25.11,0.0
2011-02-28,25.3,0.7566706491437758,0.0,0.0,25.3,0.7566706491437758,0,25.3,0.7566706491437758
2011-03-01,25.11,0.0,0.0,0.0,25.11,0.0,0,25.11,0.0
2011-03-02,24.99,-0.4778972520908087,0.0,0.0,24.99,-0.4778972520908087,0,24.99,-0.4778972520908087
2011-03-03,25.06,-0.19912385503784158,0.0,0.0,25.06,-0.19912385503784158,0,25.06,-0.19912385503784158
2011-03-04,24.91,-0.796495420151333,0.0,0.0,24.91,-0.796495420151333,0,24.91,-0.796495420151333
2011-03-05,24.91,-0.796495420151333,0.0,0.0,24.91,-0.796495420151333,0,24.91,-0.796495420151333
2011-03-06,24.91,-0.796495420151333,0.0,0.0,24.91,-0.796495420151333,0,24.91,-0.796495420151333
2011-03-07,24.77,-1.3540422142572672,0.0,0.0,24.77,-1.3540422142572672,0,24.77,-1.3540422142572672
2011-03-08,24.83,-1.1150935882118684,0.0,0.0,24.83,-1.1150935882118684,0,24.83,-1.1150935882118684
2011-03-09,24.75,-1.4336917562724039,0.0,0.0,24.75,-1.4336917562724039,0,24.75,-1.4336917562724039
2011-03-10,24.47,-2.5487853444842723,0.0,0.0,24.47,-2.5487853444842723,0,24.47,-2.5487853444842723
2011-03-11,24.29,-3.2656312226204687,0.0,0.0,24.29,-3.2656312226204687,0,24.29,-3.2656312226204687
2011-03-12,24.29,-3.2656312226204687,0.0,0.0,24.29,-3.2656312226204687,0,24.29,-3.2656312226204687
2011-03-13,24.29,-3.2656312226204687,0.0,0.0,24.29,-3.2656312226204687,0,24.29,-3.2656312226204687
2011-03-14,23.99,-4.460374352847474,0.0,0.0,23.99,-4.460374352847474,0,23.99,-4.460374352847474
2011-03-15,23.49,-6.451612903225811,0.0,0.0,23.49,-6.451612903225811,0,23.49,-6.451612903225811
