date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2017-09-21,5.01,0.0,0.0,0.0,5.01,0.0,0.0,5.01,0.0
2017-09-22,5.02,0.1996007984031989,0.0,0.0,5.02,0.1996007984031989,0.0,5.02,0.1996007984031989
2017-09-23,5.02,0.1996007984031989,0.0,0.0,5.02,0.1996007984031989,0.0,5.02,0.1996007984031989
2017-09-24,5.02,0.1996007984031989,0.0,0.0,5.02,0.1996007984031989,0.0,5.02,0.1996007984031989
2017-09-25,5.06,0.9980039920159722,0.0,0.0,5.06,0.9980039920159722,0.0,5.06,0.9980039920159722
2017-09-26,5.05,0.7984031936127733,0.0,0.0,5.05,0.7984031936127733,0.0,5.05,0.7984031936127733
2017-09-27,4.96,-0.9980039920159611,0.0,0.0,4.96,-0.9980039920159611,0.0,4.96,-0.9980039920159611
2017-09-28,4.96,-0.9980039920159611,0.0,0.0,4.96,-0.9980039920159611,0.0,4.96,-0.9980039920159611
2017-09-29,4.97,-0.7984031936127733,0.0,0.0,4.97,-0.7984031936127733,0.0,4.97,-0.7984031936127733
2017-09-30,4.97,-0.7984031936127733,0.0,0.0,4.97,-0.7984031936127733,0.0,4.97,-0.7984031936127733
2017-10-01,4.97,-0.7984031936127733,0.0,0.0,4.97,-0.7984031936127733,0.0,4.97,-0.7984031936127733
2017-10-02,4.96,-0.9980039920159611,0.0,0.0,4.96,-0.9980039920159611,0.0,4.96,-0.9980039920159611
2017-10-03,4.96,-0.9980039920159611,0.0,0.0,4.96,-0.9980039920159611,0.0,4.96,-0.9980039920159611
2017-10-04,4.95,-1.197604790419149,0.0,0.0,4.95,-1.197604790419149,0.0,4.95,-1.197604790419149
2017-10-05,4.94,-1.3972055888223478,0.0,0.0,4.94,-1.3972055888223478,0.0,4.94,-1.3972055888223478
2017-10-06,4.93,-1.5968063872255467,0.0,0.0,4.93,-1.5968063872255467,0.0,4.93,-1.5968063872255467
2017-10-07,4.93,-1.5968063872255467,0.0,0.0,4.93,-1.5968063872255467,0.0,4.93,-1.5968063872255467
2017-10-08,4.93,-1.5968063872255467,0.0,0.0,4.93,-1.5968063872255467,0.0,4.93,-1.5968063872255467
2017-10-09,4.93,-1.5968063872255467,0.0,0.0,4.93,-1.5968063872255467,0.0,4.93,-1.5968063872255467
2017-10-10,4.95,-1.197604790419149,0.0,0.0,4.95,-1.197604790419149,0.0,4.95,-1.197604790419149
