date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2019-04-18,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2019-04-19,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2019-04-20,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2019-04-21,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2019-04-22,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2019-04-23,4.49,1.1261261261261257,0.0,0.0,4.49,1.1261261261261257,0,4.49,1.1261261261261257
2019-04-24,4.5,1.3513513513513375,0.0,0.0,4.5,1.3513513513513375,0,4.5,1.3513513513513375
2019-04-25,4.52,1.8018018018017834,0.0,0.0,4.52,1.8018018018017834,0,4.52,1.8018018018017834
2019-04-26,4.54,2.2522522522522515,0.0,0.0,4.54,2.2522522522522515,0,4.54,2.2522522522522515
2019-04-27,4.54,2.2522522522522515,0.0,0.0,4.54,2.2522522522522515,0,4.54,2.2522522522522515
2019-04-28,4.54,2.2522522522522515,0.0,0.0,4.54,2.2522522522522515,0,4.54,2.2522522522522515
2019-04-29,4.54,2.2522522522522515,0.0,0.0,4.54,2.2522522522522515,0,4.54,2.2522522522522515
2019-04-30,4.51,1.5765765765765716,0.0,0.0,4.51,1.5765765765765716,0,4.51,1.5765765765765716
2019-05-01,4.47,0.6756756756756577,0.0,0.0,4.47,0.6756756756756577,0,4.47,0.6756756756756577
2019-05-02,4.47,0.6756756756756577,0.0,0.0,4.47,0.6756756756756577,0,4.47,0.6756756756756577
2019-05-03,4.55,2.4774774774774633,0.0,0.0,4.55,2.4774774774774633,0,4.55,2.4774774774774633
2019-05-04,4.55,2.4774774774774633,0.0,0.0,4.55,2.4774774774774633,0,4.55,2.4774774774774633
2019-05-05,4.55,2.4774774774774633,0.0,0.0,4.55,2.4774774774774633,0,4.55,2.4774774774774633
2019-05-06,4.55,2.4774774774774633,0.0,0.0,4.55,2.4774774774774633,0,4.55,2.4774774774774633
2019-05-07,4.43,-0.22522522522524513,0.0,0.0,4.43,-0.22522522522524513,0,4.43,-0.22522522522524513
2019-05-08,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-09,4.41,-0.6756756756756799,0.0,0.0,4.41,-0.6756756756756799,0,4.41,-0.6756756756756799
2019-05-10,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-11,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-12,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-13,4.3,-3.1531531531531654,0.0,0.0,4.3,-3.1531531531531654,0,4.3,-3.1531531531531654
2019-05-14,4.35,-2.0270270270270396,0.0,0.0,4.35,-2.0270270270270396,0,4.35,-2.0270270270270396
2019-05-15,4.39,-1.1261261261261368,0.0,0.0,4.39,-1.1261261261261368,0,4.39,-1.1261261261261368
2019-05-16,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-17,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2019-05-18,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2019-05-19,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2019-05-20,4.38,-1.3513513513513598,0.0,0.0,4.38,-1.3513513513513598,0,4.38,-1.3513513513513598
2019-05-21,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2019-05-22,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2019-05-23,4.36,-1.8018018018018056,0.0,0.0,4.36,-1.8018018018018056,0,4.36,-1.8018018018018056
2019-05-24,4.34,-2.2522522522522626,0.0,0.0,4.34,-2.2522522522522626,0,4.34,-2.2522522522522626
2019-05-25,4.34,-2.2522522522522626,0.0,0.0,4.34,-2.2522522522522626,0,4.34,-2.2522522522522626
2019-05-26,4.34,-2.2522522522522626,0.0,0.0,4.34,-2.2522522522522626,0,4.34,-2.2522522522522626
2019-05-27,4.36,-1.8018018018018056,0.0,0.0,4.36,-1.8018018018018056,0,4.36,-1.8018018018018056
2019-05-28,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2019-05-29,4.29,-3.3783783783783883,0.0,0.0,4.29,-3.3783783783783883,0,4.29,-3.3783783783783883
2019-05-30,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2019-05-31,4.25,-4.279279279279291,0.0,0.0,4.25,-4.279279279279291,0,4.25,-4.279279279279291
2019-06-01,4.25,-4.279279279279291,0.0,0.0,4.25,-4.279279279279291,0,4.25,-4.279279279279291
2019-06-02,4.25,-4.279279279279291,0.0,0.0,4.25,-4.279279279279291,0,4.25,-4.279279279279291
2019-06-03,4.23,-4.729729729729726,0.0,0.0,4.23,-4.729729729729726,0,4.23,-4.729729729729726
2019-06-04,4.3,-3.1531531531531654,0.0,0.0,4.3,-3.1531531531531654,0,4.3,-3.1531531531531654
2019-06-05,4.33,-2.4774774774774855,0.0,0.0,4.33,-2.4774774774774855,0,4.33,-2.4774774774774855
