date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2017-06-12,4.97,0.0,0.0,0.0,4.97,0.0,0.0,4.97,0.0
2017-06-13,4.99,0.4024144869215318,0.0,0.0,4.99,0.4024144869215318,0.0,4.99,0.4024144869215318
2017-06-14,4.99,0.4024144869215318,0.0,0.0,4.99,0.4024144869215318,0.0,4.99,0.4024144869215318
2017-06-15,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-06-16,4.98,0.201207243460777,0.0,0.0,4.98,0.201207243460777,0.0,4.98,0.201207243460777
2017-06-17,4.98,0.201207243460777,0.0,0.0,4.98,0.201207243460777,0.0,4.98,0.201207243460777
2017-06-18,4.98,0.201207243460777,0.0,0.0,4.98,0.201207243460777,0.0,4.98,0.201207243460777
2017-06-19,5.01,0.8048289738430636,0.0,0.0,5.01,0.8048289738430636,0.0,5.01,0.8048289738430636
2017-06-20,4.98,0.201207243460777,0.0,0.0,4.98,0.201207243460777,0.0,4.98,0.201207243460777
2017-06-21,4.96,-0.2012072434607548,0.0,0.0,4.96,-0.2012072434607548,0.0,4.96,-0.2012072434607548
2017-06-22,4.96,-0.2012072434607548,0.0,0.0,4.96,-0.2012072434607548,0.0,4.96,-0.2012072434607548
2017-06-23,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-06-24,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-06-25,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-06-26,4.96,-0.2012072434607548,0.0,0.0,4.96,-0.2012072434607548,0.0,4.96,-0.2012072434607548
2017-06-27,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-06-28,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-06-29,4.88,-1.810865191146882,0.0,0.0,4.88,-1.810865191146882,0.0,4.88,-1.810865191146882
2017-06-30,4.86,-2.2132796780684028,0.0,0.0,4.86,-2.2132796780684028,0.0,4.86,-2.2132796780684028
2017-07-01,4.86,-2.2132796780684028,0.0,0.0,4.86,-2.2132796780684028,0.0,4.86,-2.2132796780684028
2017-07-02,4.86,-2.2132796780684028,0.0,0.0,4.86,-2.2132796780684028,0.0,4.86,-2.2132796780684028
2017-07-03,4.92,-1.0060362173038184,0.0,0.0,4.92,-1.0060362173038184,0.0,4.92,-1.0060362173038184
2017-07-04,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-07-05,4.92,-1.0060362173038184,0.0,0.0,4.92,-1.0060362173038184,0.0,4.92,-1.0060362173038184
2017-07-06,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-07-07,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-07-08,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-07-09,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-07-10,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-07-11,4.87,-2.012072434607637,0.0,0.0,4.87,-2.012072434607637,0.0,4.87,-2.012072434607637
2017-07-12,4.92,-1.0060362173038184,0.0,0.0,4.92,-1.0060362173038184,0.0,4.92,-1.0060362173038184
2017-07-13,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-07-14,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-07-15,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-07-16,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-07-17,4.96,-0.2012072434607548,0.0,0.0,4.96,-0.2012072434607548,0.0,4.96,-0.2012072434607548
2017-07-18,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-07-19,4.95,-0.4024144869215207,0.0,0.0,4.95,-0.4024144869215207,0.0,4.95,-0.4024144869215207
2017-07-20,4.92,-1.0060362173038184,0.0,0.0,4.92,-1.0060362173038184,0.0,4.92,-1.0060362173038184
2017-07-21,4.89,-1.6096579476861161,0.0,0.0,4.89,-1.6096579476861161,0.0,4.89,-1.6096579476861161
2017-07-22,4.89,-1.6096579476861161,0.0,0.0,4.89,-1.6096579476861161,0.0,4.89,-1.6096579476861161
2017-07-23,4.89,-1.6096579476861161,0.0,0.0,4.89,-1.6096579476861161,0.0,4.89,-1.6096579476861161
2017-07-24,4.86,-2.2132796780684028,0.0,0.0,4.86,-2.2132796780684028,0.0,4.86,-2.2132796780684028
2017-07-25,4.88,-1.810865191146882,0.0,0.0,4.88,-1.810865191146882,0.0,4.88,-1.810865191146882
2017-07-26,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-07-27,4.89,-1.6096579476861161,0.0,0.0,4.89,-1.6096579476861161,0.0,4.89,-1.6096579476861161
2017-07-28,4.85,-2.4144869215291798,0.0,0.0,4.85,-2.4144869215291798,0.0,4.85,-2.4144869215291798
2017-07-29,4.85,-2.4144869215291798,0.0,0.0,4.85,-2.4144869215291798,0.0,4.85,-2.4144869215291798
2017-07-30,4.85,-2.4144869215291798,0.0,0.0,4.85,-2.4144869215291798,0.0,4.85,-2.4144869215291798
2017-07-31,4.84,-2.6156941649899346,0.0,0.0,4.84,-2.6156941649899346,0.0,4.84,-2.6156941649899346
2017-08-01,4.89,-1.6096579476861161,0.0,0.0,4.89,-1.6096579476861161,0.0,4.89,-1.6096579476861161
2017-08-02,4.9,-1.4084507042253391,0.0,0.0,4.9,-1.4084507042253391,0.0,4.9,-1.4084507042253391
2017-08-03,4.91,-1.2072434607645843,0.0,0.0,4.91,-1.2072434607645843,0.0,4.91,-1.2072434607645843
2017-08-04,4.94,-0.6036217303822755,0.0,0.0,4.94,-0.6036217303822755,0.0,4.94,-0.6036217303822755
2017-08-05,4.94,-0.6036217303822755,0.0,0.0,4.94,-0.6036217303822755,0.0,4.94,-0.6036217303822755
2017-08-06,4.94,-0.6036217303822755,0.0,0.0,4.94,-0.6036217303822755,0.0,4.94,-0.6036217303822755
2017-08-07,4.93,-0.8048289738430636,0.0,0.0,4.93,-0.8048289738430636,0.0,4.93,-0.8048289738430636
2017-08-08,4.94,-0.6036217303822755,0.0,0.0,4.94,-0.6036217303822755,0.0,4.94,-0.6036217303822755
