date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2018-06-28,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-06-29,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-06-30,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-01,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-02,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-03,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-04,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-05,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-06,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-07,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-08,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-09,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-10,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-11,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-12,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-13,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-14,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-15,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-16,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-17,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-18,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-19,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-20,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-21,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-22,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-23,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
2018-07-24,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-25,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
2018-07-26,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-27,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-28,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-29,5.02,0.40000000000000036,0.0,0.0,5.02,0.40000000000000036,0.0,5.02,0.40000000000000036
2018-07-30,5.01,0.20000000000000018,0.0,0.0,5.01,0.20000000000000018,0.0,5.01,0.20000000000000018
