date,quote,relative,dividends,cumulative_dividends,quote_with_dividends,relative_with_dividends,reinvested_dividends,quote_with_reinvested_dividends,relative_with_reinvested_dividends
2018-10-03,4.44,0.0,0.0,0.0,4.44,0.0,0,4.44,0.0
2018-10-04,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2018-10-05,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2018-10-06,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2018-10-07,4.42,-0.45045045045045695,0.0,0.0,4.42,-0.45045045045045695,0,4.42,-0.45045045045045695
2018-10-08,4.43,-0.22522522522524513,0.0,0.0,4.43,-0.22522522522524513,0,4.43,-0.22522522522524513
2018-10-09,4.47,0.6756756756756577,0.0,0.0,4.47,0.6756756756756577,0,4.47,0.6756756756756577
2018-10-10,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-11,4.36,-1.8018018018018056,0.0,0.0,4.36,-1.8018018018018056,0,4.36,-1.8018018018018056
2018-10-12,4.37,-1.5765765765765827,0.0,0.0,4.37,-1.5765765765765827,0,4.37,-1.5765765765765827
2018-10-13,4.37,-1.5765765765765827,0.0,0.0,4.37,-1.5765765765765827,0,4.37,-1.5765765765765827
2018-10-14,4.37,-1.5765765765765827,0.0,0.0,4.37,-1.5765765765765827,0,4.37,-1.5765765765765827
2018-10-15,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-16,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-17,4.41,-0.6756756756756799,0.0,0.0,4.41,-0.6756756756756799,0,4.41,-0.6756756756756799
2018-10-18,4.38,-1.3513513513513598,0.0,0.0,4.38,-1.3513513513513598,0,4.38,-1.3513513513513598
2018-10-19,4.39,-1.1261261261261368,0.0,0.0,4.39,-1.1261261261261368,0,4.39,-1.1261261261261368
2018-10-20,4.39,-1.1261261261261368,0.0,0.0,4.39,-1.1261261261261368,0,4.39,-1.1261261261261368
2018-10-21,4.39,-1.1261261261261368,0.0,0.0,4.39,-1.1261261261261368,0,4.39,-1.1261261261261368
2018-10-22,4.38,-1.3513513513513598,0.0,0.0,4.38,-1.3513513513513598,0,4.38,-1.3513513513513598
2018-10-23,4.36,-1.8018018018018056,0.0,0.0,4.36,-1.8018018018018056,0,4.36,-1.8018018018018056
2018-10-24,4.37,-1.5765765765765827,0.0,0.0,4.37,-1.5765765765765827,0,4.37,-1.5765765765765827
2018-10-25,4.35,-2.0270270270270396,0.0,0.0,4.35,-2.0270270270270396,0,4.35,-2.0270270270270396
2018-10-26,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-27,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-28,4.4,-0.9009009009009028,0.0,0.0,4.4,-0.9009009009009028,0,4.4,-0.9009009009009028
2018-10-29,4.36,-1.8018018018018056,0.0,0.0,4.36,-1.8018018018018056,0,4.36,-1.8018018018018056
2018-10-30,4.32,-2.7027027027027084,0.0,0.0,4.32,-2.7027027027027084,0,4.32,-2.7027027027027084
2018-10-31,4.32,-2.7027027027027084,0.0,0.0,4.32,-2.7027027027027084,0,4.32,-2.7027027027027084
2018-11-01,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2018-11-02,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2018-11-03,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2018-11-04,4.31,-2.9279279279279424,0.0,0.0,4.31,-2.9279279279279424,0,4.31,-2.9279279279279424
2018-11-05,4.34,-2.2522522522522626,0.0,0.0,4.34,-2.2522522522522626,0,4.34,-2.2522522522522626
2018-11-06,4.29,-3.3783783783783883,0.0,0.0,4.29,-3.3783783783783883,0,4.29,-3.3783783783783883
