ISIN,Position Description,Conservative,Moderate Conservative,Moderate,Moderate Aggressive,Aggressive
IE0005042456,ISHARES CORE FTSE 100 UCITS ETF GBP (DIST),-,-,-,-,-
IE000T9EOCL3,ISHARES MSCI WORLD SMALL CAP ESG ENHANCED UCITS ETF,1.00%,1.50%,2.00%,2.50%,3.50%
IE00B1XNHC34,ISHARES GLOBAL CLEAN ENERGY UCITS ETF USD (DIST),-,-,-1.00%,-1.00%,-1.50%
IE00B3ZW0K18,ISHARES S&P 500 EUR HEDGED UCITS ETF (ACC),-,-,-,-,-
IE00B52MJY50,ISHARES CORE MSCI PACIFIC EX-JAPAN UCITS ETF USD (ACC),-,-,-,-,-
IE00B52VJ196,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),-,-0.50%,-,-,-
IE00BFNM3G45,ISHARES MSCI USA ESG SCREENED UCITS ETF USD (ACC),-,-,-,-,-
IE00BHZPJ015,ISHARES MSCI EMU ESG ENHANCED UCITS ETF EUR (ACC),-,-,-,-2.50%,-2.50%
IE00BHZPJ452,ISHARES MSCI JAPAN ESG ENHANCED UCITS ETF USD (ACC),-0.50%,-0.50%,-1.00%,-1.00%,-1.00%
IE00BHZPJ783,ISHARES MSCI EUROPE ESG ENHANCED UCITS ETF EUR (ACC),-,-,-,-,-
IE00BHZPJ908,ISHARES MSCI USA ESG ENHANCED UCITS ETF USD (ACC),0.50%,-0.50%,-,-,-
IE00BYYHSM20,ISHARES MSCI EUROPE QUALITY DIVIDEND ESG UCITS ETF EUR (DIST),-,-,-,2.00%,1.50%
IE00BZ173V67,ISHARES MSCI USA SRI UCITS ETF AGGREGATE EUR HEDGED (DIST),-,-,-,-,-
IE000BI0GCN3,ISHARES CORE UK GILTS UCITS ETF EUR HEDGED (DIST,-,-,-,-,-
IE00B0M62X26,ISHARES EUR INFLATION LINKED GOVT BOND UCITS ETF (ACC),-1.00%,-1.50%,-2.00%,-2.00%,-
IE00B14X4Q57,ISHARES EUR GOVT BOND 1-3YR UCITS ETF (DIST),-,-,-,-,-
IE00B3FH7618,ISHARES EUR GOVT BOND 0-1YR UCITS ETF (DIST),-,-,-,-,-
IE00B66F4759,ISHARES EUR HIGH YIELD CORP BOND UCITS ETF,2.00%,1.50%,1.50%,2.50%,2.00%
IE00BD8PGZ49,ISHARES $ TREASURY BOND 20+YR AGGREGATE EUR HEDGED (DIST),-,-,-,-,-
IE00BDFK1573,ISHARES $ TREASURY BOND 1-3YR UCITS ETF EUR HEDGED (ACC),-,-,-,-,-
IE00BDZVH966,ISHARES USD TIPS UCITS ETF AGGREGATE EUR HEDGED (ACC),-3.00%,-3.00%,-3.00%,-3.00%,-
IE00BGPP6697,ISHARES $ TREASURY BOND 7-10YR UCITS ETF EUR HEDGED (DIST),-,-,-,-,-1.00%
IE00BH4G7D40,ISHARES $ CORP BOND ESG UCITS ETF EUR HEDGED (DIST),-,-,-,-,-
IE00BLDGH553,ISHARES EUR GOVT BOND CLIMATE UCITS ETF EUR (ACC),-,-,-,-,-
IE00BMDFDY08,ISHARES $ HIGH YIELD CORP BOND ESG UCITS ETF,-,1.00%,2.50%,1.50%,-
IE00BYZTVT56,ISHARES EUR CORP BOND ESG UCITS ETF EUR (DIST),2.00%,2.00%,2.50%,3.00%,-
IE00BHZPJ239,ISHARES MSCI EM ESG ENHANCED UCITS ETF USD (ACC),-,-,-,-,-
IE00BMG6Z448,ISHARES MSCI EM EX-CHINA UCITS ETF USD (ACC),-,-,-,-,-
IE00B5M4WH52,ISHARES J.P. MORGAN EM LOCAL GOVT BOND UCITS ETF USD (DIST),-1.00%,-1.00%,-2.00%,-2.00%,-2.00%
IE00B9M6RS56,ISHARES J.P. MORGAN $ EM BOND EUR HEDGED UCITS ETF (DIST),-,1.00%,0.50%,-,1.00%
IE00BZ1NCS44,ISHARES BLOOMBERG ENHANCED ROLL YIELD COMMODITY SWAP UCITS ETF,-,-,-,-,-
